iteration,day_index,date,actual_customers,actual_revenue_entry,actual_revenue_consumables,actual_revenue_other,actual_total_revenue,actual_expenses_daily,actual_expenses_periodic,actual_total_expenses,daily_cashflow,cumulative_cashflow
1,1,2025-12-08,4,60,24,0,84,0,0,0,84,84
1,2,2025-12-09,7,105,18,20,143,0,0,0,143,227
1,3,2025-12-10,14,210,39,0,249,0,0,0,249,476
1,4,2025-12-11,9,135,27,20,182,0,0,0,182,658
1,5,2025-12-12,13,195,15,140,350,0,0,0,350,1008
1,6,2025-12-13,18,270,51,160,481,0,0,0,481,1489
1,7,2025-12-14,21,315,75,100,490,0,300,300,190,1679
1,8,2025-12-15,10,150,54,80,284,0,0,0,284,1963
1,9,2025-12-16,11,165,24,100,289,0,0,0,289,2252
1,10,2025-12-17,11,165,21,80,266,0,0,0,266,2518
1,11,2025-12-18,3,45,12,0,57,0,0,0,57,2575
1,12,2025-12-19,11,165,33,60,258,0,0,0,258,2833
1,13,2025-12-20,21,315,57,60,432,0,0,0,432,3265
1,14,2025-12-21,17,255,51,60,366,0,300,300,66,3331
1,15,2025-12-22,13,195,36,140,371,0,0,0,371,3702
1,16,2025-12-23,13,195,51,40,286,0,0,0,286,3988
1,17,2025-12-24,13,195,33,60,288,0,0,0,288,4276
1,18,2025-12-25,21,315,42,160,517,0,0,0,517,4793
1,19,2025-12-26,25,375,87,180,642,0,0,0,642,5435
1,20,2025-12-27,24,360,72,120,552,0,0,0,552,5987
1,21,2025-12-28,17,255,63,100,418,0,300,300,118,6105
1,22,2025-12-29,20,300,72,180,552,0,0,0,552,6657
1,23,2025-12-30,16,240,33,40,313,0,0,0,313,6970
1,24,2025-12-31,21,315,54,180,549,0,0,0,549,7519
1,25,2026-01-01,14,210,33,160,403,0,13000,13000,-12597,-5078
1,26,2026-01-02,18,270,57,180,507,0,0,0,507,-4571
1,27,2026-01-03,22,330,60,180,570,0,0,0,570,-4001
1,28,2026-01-04,16,240,39,20,299,0,300,300,-1,-4002
1,29,2026-01-05,8,120,21,40,181,0,0,0,181,-3821
1,30,2026-01-06,3,45,3,20,68,0,0,0,68,-3753
1,31,2026-01-07,12,180,36,120,336,0,15000,15000,-14664,-18417
1,32,2026-01-08,9,135,42,0,177,0,0,0,177,-18240
1,33,2026-01-09,15,225,60,100,385,0,0,0,385,-17855
1,34,2026-01-10,11,165,27,80,272,0,0,0,272,-17583
1,35,2026-01-11,2,30,9,0,39,0,300,300,-261,-17844
1,36,2026-01-12,12,180,42,100,322,0,0,0,322,-17522
1,37,2026-01-13,8,120,18,80,218,0,0,0,218,-17304
1,38,2026-01-14,12,180,45,120,345,0,0,0,345,-16959
1,39,2026-01-15,10,150,30,20,200,0,0,0,200,-16759
1,40,2026-01-16,11,165,39,0,204,0,0,0,204,-16555
1,41,2026-01-17,16,240,60,60,360,0,0,0,360,-16195
1,42,2026-01-18,7,105,9,20,134,0,300,300,-166,-16361
1,43,2026-01-19,6,90,3,80,173,0,0,0,173,-16188
1,44,2026-01-20,13,195,27,100,322,0,0,0,322,-15866
1,45,2026-01-21,16,240,42,80,362,0,0,0,362,-15504
1,46,2026-01-22,9,135,18,20,173,0,0,0,173,-15331
1,47,2026-01-23,13,195,27,100,322,0,0,0,322,-15009
1,48,2026-01-24,19,285,57,220,562,0,0,0,562,-14447
1,49,2026-01-25,7,105,27,40,172,0,300,300,-128,-14575
1,50,2026-01-26,10,150,18,0,168,0,0,0,168,-14407
1,51,2026-01-27,5,75,12,0,87,0,0,0,87,-14320
1,52,2026-01-28,9,135,21,20,176,0,0,0,176,-14144
1,53,2026-01-29,11,165,33,20,218,0,0,0,218,-13926
1,54,2026-01-30,17,255,66,220,541,0,0,0,541,-13385
1,55,2026-01-31,11,165,51,20,236,0,0,0,236,-13149
1,56,2026-02-01,11,165,21,140,326,0,6300,6300,-5974,-19123
1,57,2026-02-02,14,210,51,80,341,0,0,0,341,-18782
1,58,2026-02-03,8,120,18,60,198,0,0,0,198,-18584
1,59,2026-02-04,10,150,27,200,377,0,0,0,377,-18207
1,60,2026-02-05,4,60,9,0,69,0,0,0,69,-18138
1,61,2026-02-06,13,195,21,80,296,0,0,0,296,-17842
1,62,2026-02-07,7,105,21,60,186,0,0,0,186,-17656
1,63,2026-02-08,25,375,90,100,565,0,300,300,265,-17391
1,64,2026-02-09,21,315,63,80,458,0,0,0,458,-16933
1,65,2026-02-10,21,315,93,40,448,0,0,0,448,-16485
